Image URL,Item Name,MRP,Incl.GST,Margins
https://images-eu.ssl-images-amazon.com/images/I/51EeTRS%2BUrL._AA160_.jpg,"Whiskas Kitten (2-12 months) Dry Cat Food, Ocean Fish, 450g Pack",175.00,145.65,20.15%
https://images-eu.ssl-images-amazon.com/images/I/417vPPzs7HL._AA160_.jpg,"Absorbent Cotton Wool, 15g - Pack of 16 (DL Reqd) (MFR: Prabhat Cotton)",288.00,108.78,164.75%
https://images-eu.ssl-images-amazon.com/images/I/51sm%2B97YD8L._AA160_.jpg,Cello Technotip Ball Pen Set - Count of 10 (Black),100.00,60.19,66.14%
https://images-eu.ssl-images-amazon.com/images/I/51t4D6RgR1L._AA160_.jpg,"Nestlé CERELAC Fortified Baby Cereal with Milk, Wheat-Rice Mixed Fruit – From 10 Months, 300g BIB Pack",235.00,215.59,9.00%
https://images-eu.ssl-images-amazon.com/images/I/51Vigvm7oQL._AA160_.jpg,"Classmate Long Book - Soft Cover, 228 Pages, 330 x 210mm, Single Line - Pack of 6",510.00,314.93,61.94%
https://images-eu.ssl-images-amazon.com/images/I/416YaMyAMcL._AA160_.jpg,"Parachute Advansed Jasmine Hair Oil, 90ml",39.00,34.11,14.34%
https://images-eu.ssl-images-amazon.com/images/I/41LG2BFTKDL._AA160_.jpg,"Cycle 3 in 1 Incense Sticks Economy [Pack with Free Match Box 115 Grams, Pack of 2]",100.00,86.67,15.38%
https://images-eu.ssl-images-amazon.com/images/I/51V4E1YQ6rL._AA160_.jpg,"Sri Bhagyalakshmi Bansi Sooji, 500g",29.00,21.60,34.26%
https://images-eu.ssl-images-amazon.com/images/I/410t%2B14Y0XL._AA160_.jpg,Comfort After Wash Morning Fresh Fabric Conditioner 220 ml,56.00,51.33,9.10%
https://images-eu.ssl-images-amazon.com/images/I/41qnIPkv62L._AA160_.jpg,"Otrivin Fast Relief Nasal Spray, 10ml - For Adults (DL Reqd) (MFR: GSK)",73.00,58.40,25.00%
https://images-eu.ssl-images-amazon.com/images/I/51cHLusy1aL._AA160_.jpg,"Pedigree Meat Jerky Adult Dog Treat, Roasted Lamb, 80g Pack",130.00,108.20,20.15%
https://images-eu.ssl-images-amazon.com/images/I/41cmfd15T9L._AA160_.jpg,"Johnson's Baby No More Tears Shampoo, 50ml",55.00,46.22,19.00%
https://images-eu.ssl-images-amazon.com/images/I/319JCbtndoL._AA160_.jpg,POND'S Triple Vitamin Moisturising Body Lotion 100 ml,87.00,67.34,29.20%
https://images-eu.ssl-images-amazon.com/images/I/31F-5VUtQ8L._AA160_.jpg,"Classmate Octane Gel Pen, Black (Pack of 10)",100.00,70.99,40.86%
https://images-eu.ssl-images-amazon.com/images/I/41u7ZPljloL._AA160_.jpg,"GRB Ghee Bottle, 200ml",136.00,118.27,14.99%
https://images-eu.ssl-images-amazon.com/images/I/61rpofk2hLL._AA160_.jpg,Camel Wax Crayons - 12 Shades,10.00,6.86,45.77%
https://images-eu.ssl-images-amazon.com/images/I/51%2Bu64KoJRL._AA160_.jpg,Benadryl Cough Formula 150ml (Kemwell-N) (DLReqd) (MFR: JnJ),108.00,85.04,27.00%
https://images-eu.ssl-images-amazon.com/images/I/318Fhrg4ocL._AA160_.jpg,"Rorito B Max Ball Point Pen, Black, 5pcs [Pack of 5]",125.00,89.41,39.81%
https://images-eu.ssl-images-amazon.com/images/I/51QXOghC4tL._AA160_.jpg,"Himalaya Refreshing Baby Soap, 75g",48.00,36.59,31.18%
https://images-eu.ssl-images-amazon.com/images/I/51tv4XdxphL._AA160_.jpg,"Chik Thick & Glossy Black Shampoo, 5ml+1ml [Pack of 120]",120.00,99.89,20.13%
https://images-eu.ssl-images-amazon.com/images/I/41G2o3K-R7L._AA160_.jpg,"Whiskas Salmon in Gravy, Wet Gravy Food for Adult Cats, 85 g Pouch (Pack of 6)",210.00,174.78,20.15%
https://images-eu.ssl-images-amazon.com/images/I/518wBW0NuwL._AA160_.jpg,"Harpic Powerplus Toilet Cleaner Rose, 500 ml",86.00,73.49,17.02%
https://images-eu.ssl-images-amazon.com/images/I/51QRzlvRLoL._AA160_.jpg,"Cadbury Gems Chocolate, 10.68 gm pack [Pack of 84]",420.00,354.02,18.64%
https://images-eu.ssl-images-amazon.com/images/I/41YU72uUlmL._AA160_.jpg,Classmate Wax Crayons - Regular (12 Shades),10.00,7.43,34.59%
https://images-eu.ssl-images-amazon.com/images/I/41D5-LfQ6PL._AA160_.jpg,"Plastobag Oxo Bio Degradable Bags, 17 x 19 inches, 30 per Pack (Small) - Black",65.00,40.66,59.86%
https://images-eu.ssl-images-amazon.com/images/I/41UUiDkoJkL._AA160_.jpg,Cofsils Ginger Lemon Lozenges Jar - 20 x 10 Strips (DL Reqd) (MFR: Cipla health Ltd),600.00,384.00,56.25%
https://images-eu.ssl-images-amazon.com/images/I/4161zrjS3lL._AA160_.jpg,Apsara Long Point Sharpeners - Pack of 20,100.00,75.00,33.33%
https://images-eu.ssl-images-amazon.com/images/I/31jS-gJZM8L._AA160_.jpg,Himalaya Herbals Baby Lotion (100ml),90.00,64.64,39.23%
https://images-eu.ssl-images-amazon.com/images/I/51tIF3m4dfL._AA160_.jpg,Pears Soft & Fresh Soap Bar 75 g,41.00,32.27,27.05%
https://images-eu.ssl-images-amazon.com/images/I/51ik7uwxlOL._AA160_.jpg,"Godrej HIT Cockroach Killer Spray, 200ml",98.00,87.75,11.68%
https://images-eu.ssl-images-amazon.com/images/I/31sZILEax%2BL._AA160_.jpg,"Cadbury 5 Star Chocolate Bar, 10.1 gm [Pack of 54]",270.00,236.06,14.38%
https://images-eu.ssl-images-amazon.com/images/I/41I4SZInHHL._AA160_.jpg,"Whiskas Wet Cat Food, Tuna in Jelly for Kittens, 85 g (Pack of 6)",210.00,174.07,20.64%
https://images-eu.ssl-images-amazon.com/images/I/218AvzlpLFL._AA160_.jpg,Classmate Fine Script Mechanical Pencil - Pack of 10,50.00,36.76,36.02%
https://images-eu.ssl-images-amazon.com/images/I/31lD7PT7IRL._AA160_.jpg,"Fevistik Pocket Glue Stik, 5 grams - Pack of 12",180.00,145.35,23.84%
https://images-eu.ssl-images-amazon.com/images/I/51RVlDqwJvL._AA160_.jpg,Hansaplast Regular 50' Patch,100.00,56.35,77.46%
https://images-eu.ssl-images-amazon.com/images/I/21lCD3sDrzL._AA160_.jpg,Cello Faster Grip Ball Pen - Count of 5 (Red),30.00,17.05,75.95%
https://images-eu.ssl-images-amazon.com/images/I/51CvSH0MqML._AA160_.jpg,"Pampers New Diapers Pants, X-Large, XL 7 Count",145.00,120.83,20.00%
https://images-eu.ssl-images-amazon.com/images/I/51uR10BlCGL._AA160_.jpg,"Dettol Original Soap, 75g [Pack of 4]",107.00,87.98,21.62%
https://images-eu.ssl-images-amazon.com/images/I/41GTQmDTu8L._AA160_.jpg,"Whisper Choice Sanitary Pads Extra Large Size, 6 Pads",36.00,30.56,17.80%
https://images-eu.ssl-images-amazon.com/images/I/51pPw1I-yEL._AA160_.jpg,"Cothas Speciality Blend Coffee, 100g [Pack of 10]",480.00,436.37,10.00%
https://images-eu.ssl-images-amazon.com/images/I/51JljO4jYOL._AA160_.jpg,"Whiskas Wet Cat Food, Chicken in Gravy, 85 g (Pack of 6)",210.00,174.78,20.15%
https://images-eu.ssl-images-amazon.com/images/I/51IvKmHHm2L._AA160_.jpg,"Classmate Graph Book - Soft Cover, 64 Pages, 190x160mm (pack of 24)",408.00,284.87,43.22%
https://images-eu.ssl-images-amazon.com/images/I/41HQnG15LnL._AA160_.jpg,Nataraj Plasto Erasers [Pack of 20],20.00,16.00,25.00%
https://images-eu.ssl-images-amazon.com/images/I/51DJL9ffmIL._AA160_.jpg,"Absorbent Cotton Wool, 30g - Pack of 8 (DL Reqd) (MFR: Prabhat Cotton)",280.00,96.68,189.62%
https://images-eu.ssl-images-amazon.com/images/I/41NmqrPD-DL._AA160_.jpg,"Rorito Charmer Pen, Blue [Pack of 10]",50.00,34.68,44.18%
https://images-eu.ssl-images-amazon.com/images/I/311wVaVQJQL._AA160_.jpg,"Johnson's Baby Cream, 50g",70.00,59.70,17.25%
https://images-eu.ssl-images-amazon.com/images/I/41QWAHQUCOL._AA160_.jpg,"Head & Shoulders Basic Clean Shampoo, 5ml [Pack of 64]",128.00,99.00,29.29%
https://images-eu.ssl-images-amazon.com/images/I/41a3yzBwQwL._AA160_.jpg,"Himalaya Erina Ep Powder, 150g",175.00,138.60,26.26%
https://images-eu.ssl-images-amazon.com/images/I/51DNN%2Bb0mNL._AA160_.jpg,"Classmate Long Notebook - 314mm x 194mm, Soft Cover, 160 Pages, Unruled - Pack of 12",660.00,489.52,34.83%
https://images-eu.ssl-images-amazon.com/images/I/41GEdJxrhzL._AA160_.jpg,"Ravi Long Size Note Book, Single Ruled, Soft Bound, 160 Pages, [Pack of 6]",300.00,162.93,84.13%
https://images-eu.ssl-images-amazon.com/images/I/51xcccvpFOL._AA160_.jpg,Hansaplast Washproof 8' Strips,20.00,12.37,61.68%
https://images-eu.ssl-images-amazon.com/images/I/41DLOFFRNAL._AA160_.jpg,"Doms Neon Pencil - 10 Count, Pack of 3",150.00,112.65,33.16%
https://images-eu.ssl-images-amazon.com/images/I/31304jqZDyL._AA160_.jpg,Johnson's Baby Powder (100g),70.00,57.39,21.97%
https://images-eu.ssl-images-amazon.com/images/I/41FbLIynrJL._AA160_.jpg,Vaseline Intensive Care Deep Restore Body Lotion 100 ml,75.00,66.15,13.38%
https://images-eu.ssl-images-amazon.com/images/I/41q1ap8gJXL._AA160_.jpg,"Britannia NutriChoice Digestive, 100g [Pack of 6]",120.00,101.76,17.92%
https://images-eu.ssl-images-amazon.com/images/I/51Cce0Qq-iL._AA160_.jpg,"Pedigree Biscrok Biscuits Dog Treats (Above 4 Months), Milk and Chicken Flavor, 900g Pack",275.00,228.88,20.15%
https://images-eu.ssl-images-amazon.com/images/I/41wTMpCBpML._AA160_.jpg,Classmate Octane Gel Neon - Count of 5 (Blue),50.00,37.50,33.33%
https://images-eu.ssl-images-amazon.com/images/I/41oVSkWTGyL._AA160_.jpg,Wipro Tejas Base B22 7-Watt LED Bulb (Cool Day Light),160.00,84.99,88.26%
https://images-eu.ssl-images-amazon.com/images/I/41EAXQ-%2BUvL._AA160_.jpg,Pregakem Pregnancy Detection Kit (DL Reqd) (MFR: Alkem Laboratories Ltd) (Pack of 5),325.00,66.27,390.42%
https://images-eu.ssl-images-amazon.com/images/I/51HMpeWGDIL._AA160_.jpg,"Santoor Bathing Bar, 150gm",38.00,33.44,13.64%
https://images-eu.ssl-images-amazon.com/images/I/31F7HlsoHoL._AA160_.jpg,Himalaya Herbals Gentle Baby Shampoo (100ml),85.00,64.80,31.17%
https://images-eu.ssl-images-amazon.com/images/I/31j0dNeZ4sL._AA160_.jpg,"Cadbury Dairy Milk Chocolate Bar, Fruit and Nut, 36g [Pack of 3]",120.00,100.13,19.84%
https://images-eu.ssl-images-amazon.com/images/I/41XY9kdKTcL._AA160_.jpg,"Comfort Lily Fresh Fabric Conditioner, 18ml Sachet [Pack of 30]",90.00,75.90,18.58%
https://images-eu.ssl-images-amazon.com/images/I/51RC3jb8RRL._AA160_.jpg,"Pedigree Senior (7+ Years) Dry Dog Food, Chicken & Rice, 1.2kg Pack",285.00,229.54,24.16%
https://images-eu.ssl-images-amazon.com/images/I/41-uJRTU8YL._AA160_.jpg,"LUX International Creamy Perfection Soap Bar, 75 g",25.00,20.14,24.13%
https://images-eu.ssl-images-amazon.com/images/I/51ZCzzf9qJL._AA160_.jpg,Classmate Bfirst Ball Pen - Jar of 50 pens (Blue),250.00,181.88,37.45%
https://images-eu.ssl-images-amazon.com/images/I/312h%2BI7yetL._AA160_.jpg,"Apsara Glass Marking Pencils, White - Pack of 10",60.00,45.00,33.33%
https://images-eu.ssl-images-amazon.com/images/I/51AqdEZ72KL._AA160_.jpg,Cello Pinpoint Ball Pen Set - Count of 10 (Blue),100.00,66.67,49.99%
https://images-eu.ssl-images-amazon.com/images/I/41BnMqj5R0L._AA160_.jpg,Gaviscon Original Peppermint Liquid - 150ml (DL Reqd) (MFR: RB),122.00,96.83,25.99%
